ref,component,quantity,unit_price_eur,total_eur,supplier,notes
U_drv,Mini-Circuits ERA-3SM+ MMIC,1,8.00,8.00,Mouser,Or BGA2818 alternative
RFC_drv,RFC 1 µH for ERA bias,1,0.30,0.30,LCSC,
R_drv,R 150 Ω 1/4 W bias,1,0.10,0.10,LCSC,
Pad_drv,R 11/220/220 Ω 1206 (-2 dB pi),3,0.30,0.90,LCSC,V0.2: was -5 dB
U_PA,QRP-Labs 10W HF Linear PA kit,1,55.00,55.00,QRP-Labs,Includes heatsink
Coupler_T,BN43-7051 binocular core,1,4.00,4.00,Amidon/Kits and Parts,V0.2: upsized from BN43-2402
Coupler_D,Schottky 1N5711 detector,2,1.00,2.00,Mouser,
Coupler_RC,RC filter 1k + 100 nF,4,0.10,0.40,LCSC,
LPF_L,Toroids T50-6 + 0.8 mm enameled wire,7,1.00,7.00,Amidon/Kits and Parts,
LPF_C,470/1000/1200 pF NP0 1 kV,6,0.80,4.80,Mouser,High-voltage rated for PA output
NTC,Thermistor 10 kΩ β=3950 + thermal paste,1,2.00,2.00,LCSC,V0.2: positioned near IRF510
Ferrite_PA,BLM41 ferrite for PA Vcc return,1,0.50,0.50,LCSC,V0.2 NEW: ground isolation
Opto,4N35 + R 220 Ω,1,1.00,1.00,LCSC,PTT keying isolation
ESD,PolyPhaser IS-50UX-C0 surge protector,1,40.00,40.00,DXengineering,V0.2 NEW: lightning protection
Connectors,SMA inter-card + SO-239 panel + 3.5 mm jack,4,3.00,12.00,Mouser,
TOTAL,,,,€138.00,,V0.2 vs V0.1: +€43 for ESD + BN43-7051 + ferrite
